"Reference","Value","Footprint","Datasheet","LCSC","Manufacturer","MPN","Description"
"C2,C5,C24","1uF","Capacitor_SMD:C_0402_1005Metric","","C52923","","","Unpolarized capacitor"
"C3,C14,C36","100nF","Capacitor_SMD:C_0402_1005Metric","","","","","Unpolarized capacitor"
"C4,C34","12pF","Capacitor_SMD:C_0402_1005Metric","","","","","Unpolarized capacitor"
"C6,C8,C29,C31,C32","100nF","Capacitor_SMD:C_0402_1005Metric","","C307331","","","Unpolarized capacitor"
"C7,C16,C18,C20-C23","10uF","Capacitor_SMD:C_0805_2012Metric","","C15850","","","Unpolarized capacitor"
"C9,C28","1uF","Capacitor_SMD:C_0805_2012Metric","","C15850","","","Unpolarized capacitor"
"C10","2.2uF","Capacitor_SMD:C_0402_1005Metric","","C307331","","","Unpolarized capacitor"
"C11","100pF","Capacitor_SMD:C_0402_1005Metric","","C52923","","","Unpolarized capacitor"
"C12","1uF","Capacitor_SMD:C_0402_1005Metric","","C307331","","","Unpolarized capacitor"
"C15","4.7uF","Capacitor_SMD:C_0402_1005Metric","","C307331","","","Unpolarized capacitor"
"C17,C19","22u 25V","Capacitor_SMD:C_1210_3225Metric","","C52306","","","Unpolarized capacitor"
"C25","0.5pF","Capacitor_SMD:C_0402_1005Metric","","C778333","","","Unpolarized capacitor"
"C26","0.8pF","Capacitor_SMD:C_0402_1005Metric","","C3875120","","","Unpolarized capacitor"
"C27,C35","12pF","Capacitor_SMD:C_0402_1005Metric","","C1547","","","Unpolarized capacitor"
"CN1","B3B-PH-K-S","easyeda2kicad:CONN-TH_B3B-PH-K-S","https://lcsc.com/product-detail/PH-Connectors_JST_B3B-PH-K-S-LF-SN_B3B-PH-K-S-LF-SN_C131339.html","C131339","JST","B3B-PH-K-S(LF)(SN)",""
"D1,D4,D6-D11","LED","easyeda2kicad:LED-SMD_L3.0-W3.0_XL-3030UWC-1W-3V","","C2843891","","","Light emitting diode"
"D5","PRTR5V0U2X","Package_TO_SOT_SMD:SOT-143","https://assets.nexperia.com/documents/data-sheet/PRTR5V0U2X.pdf","C2827688","","","Ultra low capacitance double rail-to-rail ESD protection diode, SOT-143"
"D13-D15","SS34_C8678","easyeda2kicad:SMA_L4.3-W2.6-LS5.2-RD","https://lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_SS34_C8678.html","C8678","MDD(辰达半导体)","SS34","SS34"
"J1","XH-2P-SMD","easyeda2kicad:CONN-SMD_2P-P2.54_XH2.54-2AB","","C722696","","","Generic connector, single row, 01x02, script generated"
"J2","2.54-3P-LT","easyeda2kicad:CONN-SMD_2.54-3P-LT","","C722698","","","Generic connector, single row, 01x03, script generated"
"J3","SIM_Card","easyeda2kicad:SIM-SMD_SMN-303","","C266888","","","SIM Card"
"L2,L3","10uH","easyeda2kicad:IND-SMD_L4.0-W4.0","","C2849472","","","Inductor"
"L4,L5","2.2uH","easyeda2kicad:IND-SMD_L4.0-W4.0_NRS4018T","","C92959","","","Inductor"
"L6","4.7nH","easyeda2kicad:L0402-R-RD","","C86065","","","Inductor"
"LED1,LED2","19-237/R6GHBHC-A01/2T","easyeda2kicad:LED-ARRAY-SMD_4P-L1.6-W1.6-BL_1","https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_19-237-R6GHBHC-A01-2T_C60105.html","C60105","EVERLIGHT(亿光)","19-237/R6GHBHC-A01/2T",""
"Q2","PMV20XNER","easyeda2kicad:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","https://lcsc.com/product-detail/presales_Nexperia-PMV20XNER_C553085.html","C553085","Nexperia(安世)","PMV20XNER",""
"Q3","2N7002","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","C8545","","","0.115A Id, 60V Vds, N-Channel MOSFET, SOT-23"
"R1","47k","Resistor_SMD:R_0402_1005Metric","","C25792","","","Resistor"
"R2","330k","Resistor_SMD:R_0402_1005Metric","","C22369540","","","Resistor"
"R3,R4,R20,R22","10k","Resistor_SMD:R_0402_1005Metric","","C49330233","","","Resistor"
"R5,R6,R28","330","Resistor_SMD:R_0402_1005Metric","","C25104","","","Resistor"
"R7-R10","39R","Resistor_SMD:R_2512_6332Metric","","","","","2W"
"R11","150R","Resistor_SMD:R_0402_1005Metric","","","","","Resistor"
"R12,R16,R17","10k","Resistor_SMD:R_0402_1005Metric","","","","","Resistor"
"R13","560k","Resistor_SMD:R_0402_1005Metric","","","","","Resistor"
"R14","2.2M","Resistor_SMD:R_0402_1005Metric","","","","","Resistor"
"R15,R29","100k","Resistor_SMD:R_0402_1005Metric","","","","","Resistor"
"R18","100R","Resistor_SMD:R_0402_1005Metric","","C25076","","","Resistor"
"R19","191k","Resistor_SMD:R_0402_1005Metric","","C159084","","","Resistor"
"R21","240k","Resistor_SMD:R_0402_1005Metric","","C64043","","","Resistor"
"R23","18k","Resistor_SMD:R_0402_1005Metric","","","","","Resistor"
"R25","100k","Resistor_SMD:R_0402_1005Metric","","C144809","","","Resistor"
"R26,R27","4.7k","Resistor_SMD:R_0402_1005Metric","","C25900","","","Resistor"
"R30","0R","Resistor_SMD:R_01005_0402Metric","","C364372","YAGEO","RC0100JR-070RL","Resistor"
"SW1","SW_Push","easyeda2kicad:KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6","","C139797","","","Push button switch, generic, two pins"
"U1","nRF52840","Package_DFN_QFN:Nordic_AQFN-73-1EP_7x7mm_P0.5mm","http://infocenter.nordicsemi.com/topic/com.nordic.infocenter.nrf52/dita/nrf52/chips/nrf52840.html","C190794","","","Multiprotocol BLE/ANT/2.4 GHz/802.15.4 Cortex-M4F SoC, AQFN-73"
"U2","NRF9151-LACA-R7","easyeda2kicad:LGA-113_L12.1-W11.1_NRF9151-LACA-R7","https://www.lcsc.com/datasheet/C22397843.pdf","C22397843","NORDIC","nRF9151-LACA-R7",""
"U3","NPM1300","easyeda2kicad:BGA-35_L3.1-W2.4-R5-C7-P0.42_NPM1300-CAAA-R","https://www.lcsc.com/datasheet/C25346894.pdf","C25346894","NORDIC","NPM1300-CAAA-R7","WLCSP-35(2.4x3.1) Battery Management RoHS"
"U4","BMA400","easyeda2kicad:LGA-12_L2.0-W2.0-P0.50-BL","https://lcsc.com/product-detail/Motion-Sensors-Accelerometers_Bosch-Sensortec-BMA400_C437655.html","C437655","Bosch(博世)","BMA400","LGA-12(2x2) Accelerometers RoHS"
"U5","DRV8871DDA","Package_SO:Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias","http://www.ti.com/lit/ds/symlink/drv8871.pdf","C75864","Texas Instruments","DRV8871DDAR","Brushed DC Motor Driver, PWM Control, 45V, 3.6A, Current limiting, HTSOP-8"
"U6,U10","BWU.FL-IPEX1","easyeda2kicad:IPEX-SMD_BWIPX-1-001E","https://www.lcsc.com/datasheet/C5137195.pdf","C5137195","BAT WIRELESS(蝙蝠无线)","BWU.FL-IPEX1","Connector Receptacle IPEX Male Pin 50Ω Surface Mount"
"U7","AN6520-245","easyeda2kicad:ANT-SMD_L6.5-W2.0","https://lcsc.com/product-detail/Others_Rainsun-microwave-Tech-AN6520-245_C239238.html","C239238","Rainsun(霖昱微)","AN6520-245",""
"U8","SEN0348_CONN","easyeda2kicad:CONN-SMD_SM06B-SRSS-TB-LF-SN","https://lcsc.com/product-detail/Others_JST-Sales-America__JST-Sales-America-SM06B-SRSS-TB-LF-SN_C160405.html","C160405","JST","SM06B-SRSS-TB(LF)(SN)","Connector Header 6 position 1mm Pitch 1A Surface Mount, Right Angle"
"U9","XH-4A","easyeda2kicad:CONN-TH_B4B-XH-A-LF-SN","","C2908602","HCTL","XH-4A",""
"U11,U14","HX PZ1.27-2x5P TP","easyeda2kicad:HDR-SMD_10P-P1.27-V-M-R2-C5-LS5.5_1","https://www.lcsc.com/datasheet/C41376037.pdf","C41376037","hanxia","HX PZ1.27-2x5P TP",""
"U12,U13","MT3608","easyeda2kicad:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","https://lcsc.com/product-detail/DC-DC-Converters_MT3608_C84817.html","C84817","西安航天民芯","MT3608","MT3608"
"USB1","TYPE-C 16PIN 2MD","easyeda2kicad:USB-C-SMD_TYPE-C-16PIN-2MD-073","https://www.lcsc.com/datasheet/C2765186.pdf","C2765186","SHOU HAN(首韩)","TYPE-C 16PIN 2MD(073)",""
"Y1","32MHz","easyeda2kicad:CRYSTAL-SMD_4P-L2.0-W1.6-BL","","C187794","","","Two pin crystal"
"Y2","32.768kHz","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","","","","","Two pin crystal"
